word,label
standard.,O
Please,O
call,O
discuss.,O
Sara,B-PERSON
Shackleton,I-PERSON
Enron,B-ORG
North,I-ORG
America,I-ORG
Corp.,I-ORG
1400,O
Smith,O
Street,O
EB,O
3801a,O
Houston,O
Texas,O
77002,O
713-853-5620,O
(phone,O
),O
713-646-3490,O
(fax,O
sara.shackleton,O
@enron.com,O
H,I-PERSON
Foster,I-PERSON
I,O
have,O
made,O
additional,O
changes,O
on,O
pages,O
11-12,O
the,O
Northwest,O
adaptations,O
to,O
make,O
LMP,O
work.,O
indicated,O
kinds,O
of,O
adjustments,O
from,O
PJM,B-ORG
platform,O
necessary,O
it,O
don,O
't,O
think,O
is,O
take,O
a,O
swing,O
at,O
Mark,B-PERSON
Mayer,I-PERSON
BPA,B-PERSON
our,O
point,O
that,O
will,O
was,O
caught,O
flat,O
footed,O
and,O
unprepared,O
for,O
Dick,O
O,O
'Niell,O
's,O
cheap,O
shot.,O
Second,O
",",O
proportion,O
hydro,O
mix,O
other,O
units,O
quite,O
different,O
in,O
NYISO,B-ORG
so,O
fact,O
they,O
fit,O
around,O
edges,O
not,O
necessarily,O
proof,O
work,O
PNW.,O
For,O
reason,O
noted,O
(hydro,O
base,O
load,O
),O
show,O
unit,O
committment,O
process,O
be,O
but,O
you,O
can,O
still,O
produce,O
hourly,O
prices.,O
Steve,B-PERSON
PNW,B-ORG
Louise,B-PERSON
:,O
You,O
requested,O
that,O
I,O
give,O
you,O
a,O
list,O
of,O
things,O
to,O
avoid,O
discussion,O
with,O
ABB.,O
We,O
've,O
maintained,O
reasonably,O
open,O
relationship,O
ABB,B-PERSON
up,O
this,O
point,O
",",O
but,O
here,O
are,O
some,O
(fairly,O
obvious,O
),O
we,O
should,O
probably,O
steer,O
clear,O
1.,O
No,O
about,O
Fronterra,B-ORG
;,O
2.,O
specifics,O
the,O
DeAcero,B-ORG
contract,O
e.g.,O
extension,O
date,O
CP,B-ORG
's,O
etc,O
and,O
3.,O
project,O
credit,O
issues,O
or,O
financing,O
alternatives,O
for,O
project.,O
When,O
contingent,O
was,O
last,O
(Feb,O
2001,I-DATE
Dave,B-PERSON
Janet,B-PERSON
essentially,O
indicated,O
an,O
important,O
Enron,B-ORG
were,O
entirely,O
committed,O
seeing,O
it,O
through,O
if,O
weren,O
't,O
damn,O
CFE,B-ORG
'd,O
already,O
be,O
done,O
etc.,O
think,O
stick,O
line,O
'll,O
fine.,O
If,O
anything,O
else,O
let,O
know,O
ASAP.,O
DTT,B-PERSON
Feb,B-DATE
Dear,O
Mr.,O
LARRY,B-PERSON
CAMPBELL,I-PERSON
:,O
Thank,O
you,O
for,O
your,O
order.,O
You,O
sold,O
120,O
shares,O
of,O
BRCD,B-ORG
(Brocade,O
Communications,I-ORG
Sys,I-ORG
I,I-ORG
Com,I-ORG
),O
at,O
169.000000.,O
ORDER,O
DETAILS,O
The,O
tracking,O
number,O
this,O
order,O
is,O
B-500-AATD-5965,O
Order,O
entered,O
14,O
:18,O
:29,O
on,O
11,O
/30,O
/00,O
processing,O
began,O
:30,O
executed,O
:37,O
ACCOUNT,O
Time,O
and,O
Date,O
Your,O
position,O
in,O
0,O
real,O
cash,O
total,O
$5,O
",685.43",O
will,O
receive,O
a,O
printed,O
Datek,B-ORG
Online,I-ORG
confirmation,O
by,O
postal,O
mail,O
",",O
or,O
electronic,O
delivery,O
if,O
are,O
subscribed,O
to,O
that,O
service.,O
Questions,O
regarding,O
transaction,O
?,O
Contact,O
our,O
Customer,O
Support,O
department,O
e-mailing,O
support,O
@datek.com.,O
Please,O
reference,O
the,O
number.,O
Brocade,B-ORG
DON,B-PERSON
BAUGHMAN,I-PERSON
JR,I-PERSON
",",O
The,O
PEP,O
system,O
closes,O
on,O
Friday,O
May,O
25,O
2001.,O
Our,O
records,O
indicate,O
that,O
you,O
have,O
not,O
selected,O
reviewers.,O
Please,O
suggest,O
a,O
list,O
of,O
reviewers,O
as,O
quickly,O
possible,O
-,O
the,O
feedback,O
process,O
cannot,O
begin,O
until,O
your,O
has,O
been,O
reviewed,O
and,O
approved,O
by,O
supervisor.,O
To,O
access,O
at,O
http,O
:,O
/,O
/pep.enron.com,O
select,O
'Suggest,O
Reviewers,O
',O
from,O
Main,O
Menu.,O
If,O
any,O
questions,O
regarding,O
PRC,O
or,O
please,O
contact,O
Help,O
Desk,O
Houston,O
1.713.853.4777,O
Option,O
4,O
email,O
perfmgmt,O
@enron.com,O
London,O
44.207.783.4040,O
pep.enquiries,O
Ken,B-PERSON
-,O
I,O
thought,O
would,O
give,O
you,O
a,O
quick,O
update,O
on,O
our,O
conversations,O
regarding,O
Atlantic,B-PERSON
Copper.,O
Our,O
team,O
met,O
with,O
the,O
senior,O
management,O
from,O
Copper,I-PERSON
last,B-DATE
week,I-DATE
in,O
concert,O
London,B-ORG
Metal,I-ORG
Exchange,I-ORG
Week.,O
There,O
are,O
several,O
hurdles,O
to,O
overcome,O
structuring,O
deal,O
acquire,O
and,O
long,O
term,O
copper,O
concentrates,O
supply,O
FM,B-PERSON
's,O
Indonesian,O
mine,O
complex.,O
Current,O
contract,O
prices,O
for,O
smelting,O
refining,O
capacity,O
low,O
they,O
might,O
be,O
bit,O
unrealistic,O
price.,O
We,O
suggested,O
conceptual,O
structure,O
that,O
may,O
work,O
but,O
is,O
probably,O
shot,O
at,O
this,B-DATE
time.,O
They,O
were,O
interested,O
requested,O
more,O
definitive,O
proposal,O
",",O
which,O
we,O
will,O
develop,O
week.,O
keep,O
posted.,O
John,B-PERSON
Phyllis,B-PERSON
:,O
Here,O
is,O
where,O
I,O
understand,O
we,O
are,O
with,O
the,O
LOC,O
provisions,O
and,O
LC,O
for.,O
1.,O
No,O
changes,O
will,O
be,O
made,O
to,O
provisions.,O
2.,O
In,O
form,O
of,O
",",O
i,O
delete,O
language,O
in,O
drawing,O
condition,O
1,O
"""the",O
entire,O
undrawn,O
amount,O
"LOC""",O
put,O
"""",O
"$.""",O
alos,O
automatic,O
renewal,O
third,O
paragraph,O
such,O
that,O
it,O
read,O
"""This",O
shall,O
expire,O
days,O
from,O
date,O
"issuance.""",O
Are,O
ready,O
finalize,O
?,O
If,O
so,O
e-mail,O
you,O
final,O
forms,O
docs.,O
Carol,B-PERSON
St.,I-PERSON
Clair,I-PERSON
EB,O
3889,O
713-853-3989,O
(Phone,O
),O
713-646-3393,O
(Fax,O
carol.st.clair,O
@enron.com,O
James,B-PERSON
",",O
please,O
find,O
the,O
file,O
attached,O
with,O
SoCal,B-ORG
amounts,O
in,O
dispute,O
as,O
we,O
discussed.,O
Let,O
me,O
know,O
if,O
you,O
need,O
any,O
further,O
assistance.,O
Richard,B-PERSON
We,O
are,O
meeting,O
tomorrow,B-DATE
afternoon,I-DATE
(internally,O
),O
to,O
discuss,O
a,B-DATE
possible,O
settlement,O
position.,O
Could,O
verify,O
from,O
March,O
2001,O
through,O
September,O
by,O
lunch,O
time,O
?,O
(I,O
was,O
using,O
combination,O
of,O
spreadsheet,O
Linda,B-PERSON
Ward,I-PERSON
had,O
provided,O
couple,I-DATE
months,I-DATE
ago,I-DATE
and,O
inquiring,O
CBS,B-ORG
invoice,O
system.,O
I,O
want,O
make,O
sure,O
have,O
most,O
current,O
information.,O
If,O
not,O
let,O
your,O
timing.,O
Also,O
been,O
billing,O
interest,O
on,O
disputed,O
don,O
't,O
see,O
anything,O
Please,O
know.,O
Thanks,O
Lindy,B-PERSON
Dear,O
General,O
Counsels,O
:,O
The,O
attachments,O
are,O
Westlaw,B-ORG
October,O
allocations,O
and,O
Lexis-Nexis,B-ORG
September,O
Usage,O
(Actuals,O
),O
reports.,O
Please,O
feel,O
free,O
to,O
call,O
me,O
if,O
you,O
have,O
any,O
questions.,O
We,O
had,O
an,O
amendment,O
contract,O
include,O
Public,O
Records,O
Dow,O
Jones,O
/Company,O
News,O
with,O
current,O
$14,O
",000",O
monthly,O
rate,O
in,O
August.,O
As,O
of,O
today,B-DATE
",",O
I,O
am,O
still,O
working,O
get,O
Aug.,O
Sept.,O
charges,O
reflect,O
the,O
changes,O
(total,O
about,O
$5,O
credit,O
).,O
apologize,O
for,O
not,O
having,O
corrected,O
invoices,O
do,O
allocation,O
reports,O
you.,O
Lexis,O
Nexis,O
report,O
has,O
coming,O
yet.,O
August,B-DATE
one,O
according,O
Julie,B-PERSON
Pechersky,I-PERSON
was,O
sent,O
but,O
got,O
lost,O
mail.,O
process,O
send,O
us,O
another,O
copy.,O
Again,O
long,O
wait,O
even,O
it,O
's,O
under,O
my,O
control.,O
Thanks,O
Sylvia,B-PERSON
Hu,I-PERSON
Corporate,O
Law,O
Information,O
Services,O
x36775,O
Mike,B-PERSON
",",O
We,O
will,O
be,O
setting,O
up,O
both,O
physical,O
and,O
financial,O
books,O
for,O
everyone.,O
I,O
know,O
not,O
everyone,O
have,O
but,O
to,O
keep,O
it,O
consistent,O
just,O
in,O
case.,O
the,O
10,O
names,O
you,O
sent,O
Jeff,B-PERSON
earlier,O
please,O
let,O
me,O
if,O
that,O
changes.,O
Do,O
what,O
structure,O
going,O
look,O
like,O
?,O
ie.,O
each,O
trader,O
assigned,O
specific,O
curves,O
/locations,O
cash,O
vs.,O
term,O
how,O
many,O
different,O
people,O
curves.,O
starting,O
over,O
with,O
our,O
curve,O
files,O
also.,O
want,O
only,O
start,O
true,O
published,O
derived,O
/internal,O
aren,O
't,O
necessary,O
we,O
need,O
create,O
more,O
into,O
later.,O
Since,O
number,O
of,O
greatly,O
reduced,O
probably,O
one,O
file.,O
Thanks,O
Kam,B-PERSON
Pat,B-PERSON
For,O
your,O
information,O
",",O
I,O
have,O
attached,O
the,O
current,O
proformas,O
(UBS,O
and,O
standard,O
).,O
know,O
John,B-PERSON
Mike,B-PERSON
had,O
a,O
lot,O
of,O
conversations,O
on,O
this,O
-,O
essentially,O
where,O
we,O
stand,O
is,O
that,O
work,O
has,O
been,O
done,O
to,O
complete,O
commercial,O
reductions,O
(by,O
name,O
),O
but,O
non-commercial,O
groups,O
just,O
reduced,O
across,O
board,O
intend,O
start,O
process,O
today,O
how,O
cut,O
numbers,O
side.,O
The,O
theory,O
was,O
communicating,O
Netcolite,O
concept,O
something,O
would,O
not,O
do,O
until,O
bit,O
more,O
clarity.,O
Webb,B-PERSON
knows,O
's,O
about,O
it,O
Hope,O
helps.,O
Louise,B-PERSON
Kitchen,O
Chief,O
Operating,O
Officer,O
Enron,B-ORG
Americas,I-ORG
Tel,O
:,O
713,O
853,O
3488,O
Fax,O
646,O
2308,O
UBS,B-ORG
This,O
is,O
a,O
friendly,O
reminder,O
for,O
your,O
support,O
the,O
American,O
Heart,O
Walk,O
on,O
Nov,B-DATE
3.,O
I,O
thank,O
you,O
all.,O
Several,O
of,O
have,O
pledged,O
support.,O
Please,O
submit,O
to,O
me,O
tax,O
deductible,O
contribution,O
by,O
22,B-DATE
October,I-DATE
",",O
Monday,O
so,O
can,O
turn,O
our,O
team,O
's,O
collection,O
in,O
before,O
deadline,O
30,B-DATE
Tuesday.,O
In,O
order,O
obtain,O
Enron,B-ORG
matching,O
gift,O
behalf,O
donation,O
also,O
would,O
like,O
GIS,O
number,O
(900...,O
),O
since,O
program,O
now,O
has,O
gone,O
paperless.,O
My,O
inter-office,O
address,O
Mail,O
stop,O
ECS,O
03-455.,O
Tushar,B-PERSON
Dhruv,I-PERSON
03524,O
713-853-5336,O
(Office,O
713-503-6798,O
(Cell,O
713-646-3653,O
(Fax,O
3,I-DATE
Geynille,B-PERSON
and,O
team,O
",",O
I,O
'll,O
be,O
at,O
Harvard,B-LOCATION
on,B-DATE
the,I-DATE
3rd,I-DATE
morning,I-DATE
of,I-DATE
4thI,O
'm,O
happy,O
to,O
take,O
short,O
drive,O
participate,O
in,O
reception,O
evening,I-DATE
4th.,O
If,O
needed,O
can,O
interviews,O
5th.,O
Also,O
Carol,B-PERSON
/Cindy,O
'd,O
like,O
see,O
if,O
we,O
follow,O
up,O
Jean,O
Baker,O
Miller,O
Training,O
Institute,O
research,O
relationship,O
possibilities,O
sometime,O
care,O
my,O
own,O
arrangements,O
expenses,O
but,O
would,O
you,O
please,O
reserve,O
a,O
room,O
for,O
me,O
(for,O
4th,I-DATE
),O
same,O
location,O
as,O
rest,O
group,O
will,O
staying,O
?,O
Thanks,O
!,O
Christie.,O
Cindy,B-PERSON
Christie,B-PERSON
5th,I-DATE
Dear,O
ROD,O
",",O
You,O
have,O
received,O
this,O
email,O
because,O
you,O
are,O
a,O
valued,O
customer,O
of,O
Platts,B-ORG
-,O
the,O
energy,O
information,O
division,O
The,B-ORG
McGraw,I-ORG
Hill,I-ORG
Companies.,O
It,O
's,O
easy,O
to,O
subscribe,O
GLOBAL,O
ENERGY,O
BUSINESS.,O
Click,O
here,O
answer,O
few,O
short,O
questions,O
and,O
be,O
on,O
your,O
way,O
FREE,O
subscription,O
BUSINESS,O
!,O
is,O
magazine,O
choice,O
for,O
executives,O
senior,O
managers,O
worldwide.,O
In,O
each,O
issue,O
will,O
receive,O
comprehensive,O
analysis,O
perspective,O
host,O
subjects,O
essential,O
firm,O
operation,O
including,O
:,O
Energy,O
Trading,O
Risk,O
Management,O
Information,O
Technologies,O
Power,O
Generation,O
Delivery,O
*,O
Finance,O
Retail,O
Business,O
Legal,O
/Regulatory,O
Strategies,O
Corporate,O
/Executive,O
Profiles,O
link,O
below,O
If,O
feel,O
message,O
in,O
error,O
or,O
would,O
like,O
removed,O
from,O
list,O
please,O
click,O
below.,O
Companies,I-ORG
Pinnacle,B-DATE
2001,I-DATE
is,O
quickly,O
approaching,O
!,O
Remember,O
",",O
all,O
EES,B-ORG
employees,O
are,O
eligible,O
to,O
be,O
nominated,O
but,O
only,O
those,O
who,O
stand,O
out,O
as,O
top,O
performers,O
in,O
their,O
field,O
will,O
selected,O
for,O
participation.,O
held,O
at,O
a,O
five-star,O
resort,O
on,O
the,O
island,O
of,O
Nevis,B-LOCATION
West,B-LOCATION
Indies.,O
This,O
years,O
event,O
an,O
exciting,O
and,O
great,O
experience,O
selected.,O
Click,O
attachment,O
below,O
get,O
feel,O
what,O
's,O
come,O
2001.,O
After,O
launching,O
file,O
website,O
can,O
accessed,O
by,O
clicking,O
link,O
bottom,O
page.,O
Indies,I-LOCATION
It,O
's,O
time,O
to,O
update,O
the,O
McAfee,B-ORG
virus,O
files....,O
Please,O
Note,O
:,O
This,O
is,O
for,O
Windows95,O
customers,O
only,O
",",O
if,O
you,O
have,O
questions,O
call,O
Helpdesk.,O
But,O
before,O
run,O
winstall,O
please,O
verify,O
that,O
version,O
4.0,O
or,O
greater,O
To,O
check,O
VShield,O
Right,O
click,O
on,O
Virus,O
shield,O
in,O
lower,O
right,O
corner,O
Select,O
About,O
The,O
should,O
be,O
not,O
contact,O
Helpdesk,I-ORG
Update,O
files,O
Click,O
Start,O
Winstall,O
Auto,O
take,O
about,O
20,O
seconds,O
-,O
If,O
don,O
't,O
When,O
completed,O
may,O
prompt,O
reboot,O
your,O
PC,O
any,O
concerns,O
running,O
Thanks,O
Omaha,B-ORG
ETS,I-ORG
x7454,O
87,O
",7454",O
I,O
am,O
writing,O
to,O
you,O
as,O
Co-chair,O
of,O
the,O
2001,B-DATE
Enron,B-ORG
Kids,I-ORG
program.,O
A,O
lot,O
ex-Enron,O
folks,O
who,O
use,O
your,O
website,O
were,O
involved,O
in,O
this,O
year,O
's,O
Gordon,O
Elementary,O
School,O
adoption,O
Many,O
these,O
people,O
sacrificed,O
some,O
their,O
own,O
Christmas,O
so,O
that,O
kids,O
at,O
would,O
not,O
be,O
let,O
down.,O
like,O
them,O
know,O
efforts,O
truly,O
appreciated,O
by,O
students,O
",",O
faculty,O
and,O
especially,O
those,O
us,O
on,O
Committee.,O
Would,O
please,O
consider,O
posting,O
site,O
attached,O
thank-you,O
letter,O
from,O
school,O
?,O
thank,O
Kevin,B-PERSON
Hyatt,I-PERSON
Co-Chair,O
Committee,I-ORG
It,O
is,O
unbelievable,O
how,O
the,O
management,O
(both,O
past,O
and,O
present,O
),O
think,O
they,O
can,O
run,O
a,O
business,O
with,O
no,O
regard,O
for,O
customer.,O
They,O
have,O
to,O
be,O
one,O
of,O
worst,O
marketing,O
organizations,O
in,O
world.,O
great,O
product,O
",",O
but,O
don,O
't,O
clue,O
on,O
promote,O
it.,O
Another,O
big,O
news,O
item,O
:,O
PPI,B-ORG
used,O
headline,O
sponser.,O
left,O
few,O
years,O
ago,O
FedEx,B-ORG
came,O
board.,O
Rumors,O
are,O
rampant,O
that,O
will,O
leaving,O
soon.,O
You,O
wonder,O
what,O
it,O
takes,O
make,O
light,O
go,O
some,O
people.,O
extremely,O
frustrating,O
try,O
continue,O
fan.,O
?,O
On,O
Friday,O
",",O
Socalgas,B-PERSON
?filed,O
a,O
protest,O
to,O
the,O
emergency,O
application,O
we,O
filed,O
on,O
Thursday,O
which,O
asked,O
CPUC,B-PERSON
exercise,O
its,O
authority,O
under,O
Public,O
Utility,O
Code,O
section,O
2774,O
and,O
order,O
provide,O
use,O
with,O
assistance,O
avert,O
core,O
gas,O
supply,O
shortages.,O
asserts,O
(1,O
),O
does,O
not,O
apply,O
shortages,O
arising,O
from,O
financial,O
difficulties,O
;,O
(2,O
requested,O
would,O
jeopardize,O
viability,O
ability,O
service,O
own,O
customers,O
(3,O
relief,O
be,O
an,O
unconstitutional,O
taking,O
of,O
property,O
(4,O
PG,O
&E,O
has,O
exhausted,O
remedies,O
in,O
particular,O
complains,O
that,O
wants,O
act,O
before,O
diverts,O
noncore,O
supplies.,O
states,O
it,O
plans,O
ask,O
federal,O
court,O
for,O
injunctive,O
prevent,O
issuance,O
order.,O
-,O
Protest,O
&E-cover.doc,O
Opposition-PG,O
&E.doc,O
CERTIFICATE,O
OF,O
SERVICE.doc,O
BROADCAST,O
MESSAGE,O
TO,O
ALL,O
PILOTS,O
:,O
PLEASE,O
REMEMBER,O
CONTACT,O
YOUR,O
PATIENT,O
AS,O
SOON,O
YOU,O
RECEIVE,O
THE,O
PAPERWORK,O
",",O
AND,O
AT,O
LEAST,O
24,O
HOURS,O
BEFORE,O
FLIGHT,O
CONFIRM,O
TIME,O
PLACE.,O
WE,O
HAVE,O
HAD,O
PATIENTS,O
CALLING,O
IN,O
BECAUSE,O
THEY,O
HAVEN,O
'T,O
HEARD,O
FROM,O
THEIR,O
PILOT,O
YET.,O
ALSO,O
SOME,O
ARE,O
WORRIED,O
WHEN,O
DON,O
HEAR,O
MISSION,O
DATE,O
GETS,O
CLOSE,O
FINDING,O
OTHER,O
WAYS,O
GET,O
THERE,O
CANCELING.,O
I,O
currently,O
have,O
13,O
pending,O
missions.,O
If,O
you,O
can,O
fly,O
please,O
call,O
or,O
email,O
the,O
office,O
as,O
soon,O
possible.,O
1,O
for,O
SAT,O
1.,O
New,B-LOCATION
Orleans,I-LOCATION
to,O
Huntsville,O
AL,O
(leg,O
of,O
3,O
leg,O
mission,O
),O
THURS,O
Houston,B-LOCATION
Jackson,O
MS,O
(LEG,O
2,O
CHECK,O
WEBSITE,O
FOR,O
OTHERS,O
thank,O
Beth,B-PERSON
972,O
458,O
0700,O
afsc,O
@angelflightsc.org,O
http,O
/,O
/www.angelflightsc.org,O
/afpage2a.htm,O
I,O
am,O
writing,O
to,I-DATE
make,O
a,O
correction,O
yesterday,B-DATE
's,O
table.,O
Joel,B-PERSON
and,O
were,O
looking,O
over,O
Connecticut,B-LOCATION
SIP,O
rule,O
because,O
he,O
noticed,O
that,O
1990,I-DATE
seemed,O
too,O
early.,O
defines,O
baseline,O
EGUs,O
as,O
those,O
operating,O
prior,I-DATE
units,O
are,O
allocated,O
from,O
the,I-DATE
main,O
trading,O
budget.,O
The,O
change,O
would,O
like,O
note,O
is,O
state,O
also,O
distinguishes,O
between,O
"""new",O
"units""",O
"EGUs.""",O
New,O
anything,O
2001,O
season,I-DATE
they,O
separately,O
",",O
but,O
point,O
will,O
receive,O
allowances,O
pool,O
just,O
be,O
differently.,O
This,O
won,O
't,O
affect,O
our,O
current,O
tasks,O
does,O
not,O
allocate,O
until,O
three,B-DATE
months,I-DATE
start,I-DATE
of,I-DATE
season.,O
attaching,O
corrected,O
Thanks,O
Sara,B-PERSON
Here,O
is,O
the,O
final,O
draft,O
of,O
my,O
rebuttal,O
testimony.,O
?,O
I,O
will,O
be,O
spending,O
rest,O
morning,O
cleaning,O
up,O
few,O
remaining,O
holes,O
for,O
numbers,O
",",O
etc.,O
Please,O
note,O
have,O
added,O
extensive,O
to,O
SCGC,B-ORG
/,O
TURN,B-ORG
study,O
showning,O
that,O
demand,O
charges,O
could,O
increase,O
EG,O
fixed,O
costs,O
by,O
20,O
%.,O
The,O
which,O
Edison,B-ORG
received,O
in,O
a,O
data,O
response,O
late,B-DATE
Wednesday,I-DATE
very,O
weak.,O
call,O
with,O
any,O
comments,O
1,O
p.m.,O
today.,O
Also,O
this,O
has,O
revised,O
language,O
indicating,O
testimony,O
not,O
meant,O
express,O
CCC,B-ORG
's,O
or,O
Dynegy,B-ORG
opposition,O
element,O
Interim,B-ORG
Settlement.,O
would,O
appreciate,O
feedback,O
on,O
whether,O
consistent,O
how,O
other,O
signatories,O
Settlement,I-ORG
are,O
dealing,O
issue.,O
Tom,B-PERSON
Beach,I-PERSON
You,O
are,O
invited,O
to,O
a,O
MEETING,O
OF,O
THE,O
MINDS,O
!,O
On,O
Thursday,B-DATE
August,I-DATE
30,I-DATE
@,O
4,O
:30,O
please,O
",",O
plan,O
on,O
attending,O
the,O
monthly,O
24,O
hour,O
group,O
meeting.,O
Agenda,O
:,O
will,O
have,O
opportunity,O
meet,O
Introductions,O
of,O
new,O
staff.,O
Discuss,O
current,O
events.,O
be,O
able,O
make,O
suggestions,O
for,O
group.,O
Be,O
advised,O
desk,O
happenings.,O
Open,O
forum,O
discussion.,O
There,O
happy,O
immediately,O
following,O
meeting,O
held,O
in,O
or,O
near,O
Downtown.,O
Sling,O
me,O
some,O
where,O
you,O
might,O
want,O
go.,O
If,O
any,O
questions,O
give,O
call.,O
See,O
y,O
'all,O
there.,O
Don,B-PERSON
Cell,O
No.,O
281-787-0029,O
Downtown,B-LOCATION
What,O
does,O
this,O
all,O
mean,O
for,O
you,O
after,O
July,O
1,O
",",O
2000,O
?,O
New,O
SAP,O
Coding,O
everyone,O
This,O
includes,O
new,O
General,O
Ledger,O
Accounts,O
Workorder,O
numbers,O
and,O
Cost,O
Centers.,O
Company,O
have,O
now,O
been,O
expanded,O
to,O
four,O
positions.,O
All,O
departments,O
assigned,O
a,O
Center,O
number,O
A,O
/Cost,O
must,O
be,O
used,O
request,O
Houston,B-LOCATION
Office,I-LOCATION
internal,O
services,O
such,O
as,O
:,O
Forms,O
&,O
Stationary,O
Overnight,O
Deliveries,O
(Fed,O
Ex,O
UPS,O
etc.,O
),O
Audio,O
/Visual,O
Services,O
TAP,O
-,O
Travel,O
Agency,O
in,O
the,O
Park,O
/C,O
Lighting,O
hours,O
Catering,O
Contract,O
Staff,O
forms,O
developed,O
Invoice,O
Expense,O
Reports,O
will,O
accommodate,O
codes.,O
Where,O
do,O
find,O
information,O
Documentation,O
cost,O
center,O
codes,O
are,O
on,O
intranet,O
"""Quick",O
"Reference""",O
site,O
at,O
http,O
/,O
/sap.enron.com,O
/quickref,O
Call,O
your,O
Project,O
Manager,O
Here,O
are,O
two,O
documents,O
per,O
your,O
request,O
",",O
Maureen,B-PERSON
-,O
I,O
was,O
not,O
sure,O
which,O
one,O
you,O
wanted,O
:,O
(See,O
attached,O
file,O
5,O
Part,O
Leadership,O
ModelFall,O
2000.doc,O
),O
Evaluations1.ppt,O
++,O
|,O
This,O
message,O
may,O
contain,O
confidential,O
and,O
/or,O
privileged,O
information.,O
If,O
the,O
addressee,O
or,O
authorized,O
to,O
receive,O
this,O
for,O
must,O
use,O
copy,O
disclose,O
take,O
any,O
action,O
based,O
on,O
information,O
herein.,O
have,O
received,O
in,O
error,O
please,O
advise,O
sender,O
immediately,O
by,O
reply,O
