message_id,text,entities,annotation
<26536281.1075861859423.JavaMail.evans@thyme>,"James, please find the file attached with the SoCal amounts in dispute as we discussed.  Let me know if you need any further assistance.

Richard,
We are meeting tomorrow afternoon (internally) to discuss a possible SoCal settlement position.  Could you verify the amounts from March, 2001 through September, 2001 by lunch time tomorrow?  (I was using a combination of a spreadsheet Linda Ward had provided to me a couple months ago and inquiring in the CBS invoice system.  I want to make sure I have the most current information.)  If not, let me know your timing.  Also, have we been billing interest on the disputed amounts?  I don't see anything in the invoice system.  Please let me know.

Thanks,
Lindy","[{'word': 'James', 'tag': 'PERSON'}, {'word': 'Richard', 'tag': 'PERSON'}, {'word': 'Linda Ward', 'tag': 'PERSON'}, {'word': 'Lindy', 'tag': 'PERSON'}, {'word': 'March, 2001', 'tag': 'DATE'}, {'word': 'September, 2001', 'tag': 'DATE'}, {'word': 'tomorrow afternoon', 'tag': 'DATE'}, {'word': 'a couple months ago', 'tag': 'DATE'}, {'word': 'SoCal', 'tag': 'ORG'}, {'word': 'CBS', 'tag': 'ORG'}]","[('James', 'PERSON'), ('Richard', 'PERSON'), ('Linda Ward', 'PERSON'), ('Lindy', 'PERSON'), ('March, 2001', 'DATE'), ('September, 2001', 'DATE'), ('tomorrow afternoon', 'DATE'), ('a couple months ago', 'DATE'), ('SoCal', 'ORG'), ('CBS', 'ORG')]"
<8382380.1075842443798.JavaMail.evans@thyme>,"Dear General Counsels:

The attachments are Westlaw October allocations and Lexis-Nexis September 
Usage (Actuals) reports.  Please feel free to call me if you have any 
questions.

   

We had an amendment to Westlaw contract to include Public Records and Dow 
Jones/Company News with current $14,000 monthly rate in August.   As of 
today, I am still working with Westlaw to get Aug. and Sept. charges to 
reflect the changes (total about $5,000 credit).  I apologize for not having 
the corrected Westlaw invoices to do Aug. and Sept. allocation reports to 
you.   

October Lexis Nexis Usage report has not coming yet.  August one, according 
to Julie Pechersky was sent to me but got lost in the mail.  I am in the 
process having Lexis to send us another copy.   Again I apologize for the 
long wait even it's not under my control.

Thanks,
Sylvia Hu
Corporate and Law Information Services
x36775","[{'word': 'Sylvia Hu', 'tag': 'PERSON'}, {'word': 'Julie Pechersky', 'tag': 'PERSON'}, {'word': 'August', 'tag': 'DATE'}, {'word': 'today', 'tag': 'DATE'}, {'word': 'Westlaw', 'tag': 'ORG'}, {'word': 'Lexis-Nexis', 'tag': 'ORG'}, {'word': 'Dow Jones/Company News', 'tag': 'ORG'}]","[('Sylvia Hu', 'PERSON'), ('Julie Pechersky', 'PERSON'), ('August', 'DATE'), ('today', 'DATE'), ('Westlaw', 'ORG'), ('Lexis-Nexis', 'ORG'), ('Dow Jones/Company News', 'ORG')]"
<19328210.1075840198707.JavaMail.evans@thyme>,"Mike,

We will be setting up both physical and financial books for everyone.  I know not everyone will have physical but to keep it consistent everyone will have both just in case.  I have the 10 names you sent Jeff earlier, please let me know if that changes.  Do you know what the structure going to look like? ie.  will each trader be assigned specific curves/locations, cash vs. term, how many different people will be setting curves.

We will be starting over with our curve files also.  We want to only start with the true published curves.  We have many derived/internal curves that aren't necessary and if we need to create more curves we will look into it later.  Since the number of curves will be greatly reduced, we will probably start with one file.    

Thanks
Kam","[{'word': 'Mike', 'tag': 'PERSON'}, {'word': 'Jeff', 'tag': 'PERSON'}, {'word': 'Kam', 'tag': 'PERSON'}]","[('Mike', 'PERSON'), ('Jeff', 'PERSON'), ('Kam', 'PERSON')]"
<32604882.1075840962903.JavaMail.evans@thyme>,"Pat

For your information, I have attached the current proformas (UBS and the standard).  I know John and Mike have had a lot of conversations on this - essentially where we stand is that the work has been done to complete the commercial reductions (by name) but the non-commercial groups have just been reduced across the board and we intend to start the process today on how to cut the numbers on the non-commercial side.  The theory was that communicating the Netcolite concept was something we would not do until we had a bit more clarity.  Webb knows but that's about it on the non-commercial side.

Hope this helps.

Louise

  

Louise Kitchen
Chief Operating Officer
Enron Americas
Tel:  713 853 3488
Fax: 713 646 2308","[{'word': 'Pat', 'tag': 'PERSON'}, {'word': 'John', 'tag': 'PERSON'}, {'word': 'Mike', 'tag': 'PERSON'}, {'word': 'Louise', 'tag': 'PERSON'}, {'word': 'Webb', 'tag': 'PERSON'}, {'word': 'UBS', 'tag': 'ORG'}, {'word': 'Enron Americas', 'tag': 'ORG'}]","[('Pat', 'PERSON'), ('John', 'PERSON'), ('Mike', 'PERSON'), ('Louise', 'PERSON'), ('Webb', 'PERSON'), ('UBS', 'ORG'), ('Enron Americas', 'ORG')]"
<19381265.1075855062853.JavaMail.evans@thyme>,"This is a friendly reminder for your support for the American Heart Walk on Nov 3.  I thank you all.

Several of you have pledged your support.  Please submit to me your tax deductible contribution by 22 October, Monday so I can turn our team's collection in before the deadline of 30 October, Tuesday.  In order to obtain Enron's matching gift in behalf of your donation, I also would like your GIS number (900...) since the matching gift program now has gone paperless.  My inter-office address is Mail stop ECS 03-455.


Tushar Dhruv
ECS 03524
713-853-5336 (Office)
713-503-6798 (Cell)
713-646-3653 (Fax)","[{'word': 'Tushar Dhruv', 'tag': 'PERSON'}, {'word': 'Nov 3', 'tag': 'DATE'}, {'word': '22 October', 'tag': 'DATE'}, {'word': '30 October', 'tag': 'DATE'}, {'word': 'Enron', 'tag': 'ORG'}]","[('Tushar Dhruv', 'PERSON'), ('Nov 3', 'DATE'), ('22 October', 'DATE'), ('30 October', 'DATE'), ('Enron', 'ORG')]"
<14623691.1075849821003.JavaMail.evans@thyme>,"Geynille and team,

I'll be at Harvard on the 3rd and the morning of the 4thI'm happy to take 
the short drive to participate in the reception on the evening of the 4th. If 
needed I can participate in interviews on the 5th. 

 Also, Carol/Cindy, I'd like to see if we can follow up on the Jean Baker 
Miller Training Institute research relationship possibilities sometime on the 
5th.

Geynille, I'll take care of my own arrangements and expenses, but would you 
please reserve a room for me (for the evening of the 4th) at the same 
location as the rest of the group will be staying?

Thanks!

Christie.","[{'word': 'Geynille', 'tag': 'PERSON'}, {'word': 'Carol', 'tag': 'PERSON'}, {'word': 'Cindy', 'tag': 'PERSON'}, {'word': 'Jean Baker Miller', 'tag': 'PERSON'}, {'word': 'Christie', 'tag': 'PERSON'}, {'word': 'on the 3rd', 'tag': 'DATE'}, {'word': 'the morning of the 4th', 'tag': 'DATE'}, {'word': 'on the evening of the 4th', 'tag': 'DATE'}, {'word': 'on the 5th', 'tag': 'DATE'}, {'word': 'Harvard', 'tag': 'LOCATION'}, {'word': 'Jean Baker Miller Training Institute', 'tag': 'ORG'}]","[('Geynille', 'PERSON'), ('Carol', 'PERSON'), ('Cindy', 'PERSON'), ('Jean Baker Miller', 'PERSON'), ('Christie', 'PERSON'), ('on the 3rd', 'DATE'), ('the morning of the 4th', 'DATE'), ('on the evening of the 4th', 'DATE'), ('on the 5th', 'DATE'), ('Harvard', 'LOCATION'), ('Jean Baker Miller Training Institute', 'ORG')]"
<17603763.1075862292350.JavaMail.evans@thyme>,"Dear ROD ,

You have received this email because you are a valued customer of Platts - the energy information division of The McGraw Hill Companies.

It's easy to subscribe to GLOBAL ENERGY BUSINESS. Click here to answer a few short questions and be on your way to your FREE subscription to GLOBAL ENERGY BUSINESS!



GLOBAL ENERGY BUSINESS is the magazine of choice for energy executives and senior managers worldwide. In each issue, you will receive comprehensive analysis and perspective on a host of subjects essential to your firm's operation, including:  

Energy Trading 
Risk Management 
Information Technologies 
Power Generation 
Energy Delivery * Finance 
Retail Energy Business 
Legal/Regulatory 
Management Strategies 
Corporate/Executive Profiles 

Click on the link below to subscribe to GLOBAL ENERGY BUSINESS. 



If you feel you have received this message in error or would like to be removed from this list, please click on the link below.","[{'word': 'Platts', 'tag': 'ORG'}, {'word': 'The McGraw Hill Companies', 'tag': 'ORG'}]","[('Platts', 'ORG'), ('The McGraw Hill Companies', 'ORG')]"
<2150224.1075842964264.JavaMail.evans@thyme>,"Pinnacle 2001 is quickly approaching!  Remember, all EES employees are 
eligible to be nominated, but only those who stand out as
top performers in their field will be selected for participation.  Pinnacle 
2001 will be held at a five-star resort on the island of Nevis in the
West Indies. This years event will be an exciting and great experience for 
those selected. Click on the attachment below to get a feel of
what's to come at Pinnacle 2001.  After launching the file, the Pinnacle 2001 
website can be accessed by clicking on the link at the bottom
of the page.","[{'word': 'Pinnacle 2001', 'tag': 'DATE'}, {'word': 'Nevis', 'tag': 'LOCATION'}, {'word': 'West Indies', 'tag': 'LOCATION'}, {'word': 'EES', 'tag': 'ORG'}]","[('Pinnacle 2001', 'DATE'), ('Nevis', 'LOCATION'), ('West Indies', 'LOCATION'), ('EES', 'ORG')]"
<15140020.1075844138471.JavaMail.evans@thyme>,"It's time to update the McAfee virus files....

Please Note: This update is for Windows95 customers only, if you have 
questions, call the Helpdesk.

But before you run the winstall, please verify that you have version 4.0 or 
greater :

To check the VShield version:

Right click on the Virus shield in the lower right corner 
Select About  
 
The McAfee VShield version should be 4.0 or greater, if not, please contact 
the Helpdesk


To Update the McAfee files:

Click Start 
Select Winstall Auto Update, should take about 20 seconds to run - If you 
don't have the Winstall Auto Update, please contact the Helpdesk 
When the Winstall is completed, you may be prompt to reboot your PC

If you have any questions, or concerns before running the update, call the 
Helpdesk
Thanks - Omaha ETS Helpdesk x7454, 87,7454","[{'word': 'McAfee', 'tag': 'ORG'}, {'word': 'Omaha ETS Helpdesk', 'tag': 'ORG'}]","[('McAfee', 'ORG'), ('Omaha ETS Helpdesk', 'ORG')]"
<15291859.1075860872470.JavaMail.evans@thyme>,"I am writing to you as Co-chair of the 2001 Enron Kids program.

A lot of ex-Enron folks who use your website were involved in this year's Gordon Elementary School adoption program.  Many of these people sacrificed some of their own Christmas so that kids at Gordon Elementary would not be let down.  I would like them to know that their efforts were truly appreciated by the students, faculty, and especially those of us on the Committee.  Would you please consider posting on your site the attached thank-you letter from the school? 

thank you
Kevin Hyatt
Co-Chair
Enron Kids Committee 2001","[{'word': 'Kevin Hyatt', 'tag': 'PERSON'}, {'word': '2001', 'tag': 'DATE'}, {'word': 'Enron Kids Committee', 'tag': 'ORG'}]","[('Kevin Hyatt', 'PERSON'), ('2001', 'DATE'), ('Enron Kids Committee', 'ORG')]"
<11387656.1075852221819.JavaMail.evans@thyme>,"It is unbelievable how the management (both past and present) think they can run a business with no regard for the customer.  They have to be one of the worst marketing organizations in the world.  They have a great product, but don't have a clue on how to promote it.

Another big news item : PPI used to be the headline sponser.  They left a few years ago and FedEx came on board.  Rumors are rampant that FedEx will be leaving soon.  You have to wonder what it takes to make the light go on for some people.

It is extremely frustrating to try and continue to be a fan.","[{'word': 'PPI', 'tag': 'ORG'}, {'word': 'FedEx', 'tag': 'ORG'}]","[('PPI', 'ORG'), ('FedEx', 'ORG')]"
<29225788.1075843329751.JavaMail.evans@thyme>,"?
On  Friday, Socalgas?filed a protest to the emergency application we filed 
on  Thursday which asked the CPUC to exercise its authority under Public 
Utility  Code section 2774 and order Socalgas to provide use with emergency 
assistance to  avert core gas supply shortages.? Socalgas asserts (1) section 
2774 does  not apply to gas shortages arising from financial difficulties; 
(2) the  emergency assistance we requested would jeopardize its financial 
viability and  ability to provide gas service to its own core customers; (3) 
the requested  relief would be an unconstitutional taking of its property; 
and (4) PG&E has  not exhausted its own remedies  in particular, the 
protest complains that  PG&E wants Socalgas to act before PG&E diverts 
noncore gas  supplies.? Socalgas states it plans to ask a federal court for 
injunctive  relief to prevent CPUC issuance of the requested order.?  
?

?


 - Protest to PG&E-cover.doc
 - Opposition-PG&E.doc
 - CERTIFICATE OF SERVICE.doc","[{'word': 'Socalgas', 'tag': 'PERSON'}, {'word': 'CPUC', 'tag': 'PERSON'}, {'word': 'PG&E', 'tag': 'PERSON'}, {'word': 'On Friday', 'tag': 'DATE'}, {'word': 'on Thursday', 'tag': 'DATE'}]","[('Socalgas', 'PERSON'), ('CPUC', 'PERSON'), ('PG&E', 'PERSON'), ('On Friday', 'DATE'), ('on Thursday', 'DATE')]"
<31609129.1075842014780.JavaMail.evans@thyme>,"BROADCAST MESSAGE TO ALL PILOTS:

PLEASE REMEMBER TO CONTACT YOUR PATIENT AS SOON AS YOU RECEIVE THE PAPERWORK, AND AT LEAST 24 HOURS BEFORE THE FLIGHT TO CONFIRM TIME AND PLACE. WE HAVE HAD PATIENTS CALLING IN BECAUSE THEY HAVEN'T HEARD FROM THEIR PILOT YET. ALSO, SOME ARE WORRIED WHEN THEY DON'T HEAR FROM THEIR PILOT AS THE MISSION DATE GETS CLOSE AND THEY ARE FINDING OTHER WAYS TO GET THERE AND ARE CANCELING.

I currently have 13 pending missions. If you can fly please call or email the office as soon as possible. 


1 for SAT		1.  New Orleans to Huntsville, AL (leg 1 of 3 leg mission)

1 for THURS		1.  Houston to Jackson, MS  (LEG 2 of 3 leg mission)


PLEASE CHECK THE WEBSITE FOR OTHERS


thank you
Beth
972 458 0700
afsc@angelflightsc.org
http://www.angelflightsc.org/afpage2a.htm","[{'word': 'Beth', 'tag': 'PERSON'}, {'word': 'New Orleans', 'tag': 'LOCATION'}, {'word': 'Huntsville, AL', 'tag': 'LOCATION'}, {'word': 'Houston', 'tag': 'LOCATION'}, {'word': 'Jackson, MS', 'tag': 'LOCATION'}]","[('Beth', 'PERSON'), ('New Orleans', 'LOCATION'), ('Huntsville, AL', 'LOCATION'), ('Houston', 'LOCATION'), ('Jackson, MS', 'LOCATION')]"
<6594630.1075862095737.JavaMail.evans@thyme>,"I am writing to make a correction to yesterday's table.  Joel and I 
were looking over Connecticut's SIP rule because he noticed that 
1990 seemed too early.  Connecticut defines baseline EGUs as 
those that were operating prior to 1990 and those units are 
allocated from the main trading budget.  The change I would like to 
note is that the state also distinguishes between ""new units"" and 
""new EGUs.""  New EGUs are anything operating prior to the 2001 
season and they are allocated separately, but also from the main 
trading budget.  The point is that anything prior to 2001 will receive 
allowances from the main pool, they will just be allocated 
differently.  This won't affect our current tasks as Connecticut does 
not allocate until three months prior to the start of the season.  I 
am attaching a corrected table.  

Thanks, 
Sara","[{'word': 'Joel', 'tag': 'PERSON'}, {'word': 'Sara', 'tag': 'PERSON'}, {'word': 'yesterday', 'tag': 'DATE'}, {'word': 'prior to 1990', 'tag': 'DATE'}, {'word': 'prior to the 2001 season', 'tag': 'DATE'}, {'word': 'three months prior to the start of the season', 'tag': 'DATE'}, {'word': 'Connecticut', 'tag': 'LOCATION'}]","[('Joel', 'PERSON'), ('Sara', 'PERSON'), ('yesterday', 'DATE'), ('prior to 1990', 'DATE'), ('prior to the 2001 season', 'DATE'), ('three months prior to the start of the season', 'DATE'), ('Connecticut', 'LOCATION')]"
<5946054.1075846663755.JavaMail.evans@thyme>,"Here is the final draft of my rebuttal testimony.? I will  be spending the 
rest of the morning cleaning up the few remaining holes for  numbers, etc.? 
Please note I have added extensive rebuttal to the SCGC /  TURN study 
showning that demand charges could increase EG fixed costs by up to  20%.? 
The study, which Edison received in a data response late Wednesday,  is very 
weak.? Please call with any final comments by 1 p.m.  today.
?
Also  this draft has revised language indicating that this  testimony is 
not meant to express the CCC's or Dynegy's opposition to any  element of the 
Interim Settlement.? I would appreciate any feedback on  whether this 
language is consistent with how other signatories to the Interim  Settlement 
are dealing with this issue.
?
Tom Beach","[{'word': 'Tom Beach', 'tag': 'PERSON'}, {'word': 'late Wednesday', 'tag': 'DATE'}, {'word': '1 p.m. today', 'tag': 'DATE'}, {'word': 'SCGC', 'tag': 'ORG'}, {'word': 'TURN', 'tag': 'ORG'}, {'word': 'Edison', 'tag': 'ORG'}, {'word': 'CCC', 'tag': 'ORG'}, {'word': 'Dynegy', 'tag': 'ORG'}, {'word': 'Interim Settlement', 'tag': 'ORG'}]","[('Tom Beach', 'PERSON'), ('late Wednesday', 'DATE'), ('1 p.m. today', 'DATE'), ('SCGC', 'ORG'), ('TURN', 'ORG'), ('Edison', 'ORG'), ('CCC', 'ORG'), ('Dynegy', 'ORG'), ('Interim Settlement', 'ORG')]"
