message_id,text,sentiment
<16344900.1075842629889.JavaMail.evans@thyme>,"Gerald is faxing that document to you.  I am sorry you did not already have 
it.  I exchanged messages with CIG on Wed. but have not talked to them 
directly.  i think they are getting antsy.  What do you think your timing is 
on turning the documents?

P.S.  I want to talk to you about a San Juan deal.  Transwestern is looking 
at an expansion to the California Border from the San Juan Basin.  That could 
be really attractive given the strength we have seen recently.  We could 
provide the downstream market for you at the Border.

Let's Discuss

Mark



	""Brian Stone""",neutral
<28500259.1075842941960.JavaMail.evans@thyme>,"SB 1741; Telecommunications:  technology specific area codes, Author: Bowen 
Introduced 2/23/00
Sponsor: Author Sponsor
Summary:
Currently, in California,  area codes cannot be approved based on specific 
technology.
This bill would require the Public Utilities Commission to request authority 
from the Federal Communications Commission to require telephone corporations 
to establish technology specific area codes based on wireless and data 
communications.  This bill would also prohibit the Public Utilities 
Commission from approving new area code splits or overlays unless a 
technology specific area code had been established in the affected area and 
further area code relief is warranted.

Position: 
What is our position on this issue? Should we watch this bill?
Attached is the bill.",neutral
<5540266.1075852649449.JavaMail.evans@thyme>,"Please allow me to take a moment to express our my gratitude to Enron for assisting us (my wife, 2 daughters and me) in our desperate time of need.  Although many in Houston were affected by Tropical Storm Allison to a degreeworse than we, still we were in dire need of help.  Enron, the outstandingcompany that it is, came through for us.

My family and I have been displaced from our home, and the sum total of ourworldly possessions now fit inside 1 half of a 2-car garage.  Enron has helped us begin to put our lives back together, and I can think of no more eloquent or appropriate way to express our gratitude than to simply say, ""Thank you.""

The immense pride I feel being a part of the most innovative company in theworld has increased 10 fold.

My most sincere thanks,

Keith Clark",positive
<21767486.1075842780222.JavaMail.evans@thyme>,"Below is a list of the people that will be moving on  the evening of
Wednesday, April 4. 

If you need boxes contact 36300.  Please have every thing packed and ready to
move by 5:00 pm.  The move team will furnish an envelope containing labelsfor your use.


NAMEFROMTO
Blaine, Michelle**3AC19343820
Brownfeld, Gail**3AC19263819
George, Carolyn38213836A
Goode, Diane3876C3833
Guinn, Linda 38443829A
Haas, Merrill3876B3830
Hearn, Ed* (Mickey Mouse)3880D3844
Heinitz, Mary38203836
Keesler, Martha38143829
Korkmas, Deborah38193834A
Lauterbach, Elizabeth38183851B
Maxwell, Matthew3875A3830A
Meraz, Claudia* (Winners)3851B3821A
Nemec, Gerald38833874A
Simmons, Linda* (Shadow)3821A3833A
Truss, Stephanie**3AC19363821
Young, Kay3880B3834
LAN Printer* ) JAWS38483829B
LAN Printer*) TULIP3858F3829B
*  Network printer
** New phone installation.  Telephone numbers will be furnisthed upon
completion of move. 

Please feel free to contact me at X57373 if you have any questions pertaining
to the scheduled move.

Best regards,
Taffy Milligan",neutral
<23533966.1075840162147.JavaMail.evans@thyme>,"Mr. Skilling,

Thank you so much for delivering my resume to your Associate Program
recruiting personnel.  I have been in contact with them for the last couple
weeks, and recently confirmed an interview date for Wednesday, May 23rd.

I am very excited about the possibility of joining Enron and look forward to
a challenging visit next week.  It would be an honor to become a member of
your prestigious team.

Again, I greatly appreciate your time and assistance.  You have been a great
help.  Have a wonderful week and congratulations on all your continued
success!


Sincerely,

Jon Friedberg
3919 Villa Costera
Malibu, CA   90265

Phone: 310.456.2792
Email: Jon@JonFriedberg.com",positive
<10680245.1075851608071.JavaMail.evans@thyme>,"No intent to make people pay twice.  Anticipated that Edison might not want to be at risk for costs associated with retail gen service (e.g., AS, GMC, shaping) while only allowed to charge the wholesale price.  Any changes necessary to ensure no double counting are welcome.

Also, if 30 days seems to short to for some customers do strike a deal with either the utility or an ESP, then it might be appropriate, and I wouldn't object, to extending it to 90 days.  In my conversation with Dorothy, both 30 and 90 came up.  90 is reasonable, but it would seem to be the uppermost  limit.

Thanks very much for the comments.

Best,
Jeff",neutral
<17106261.1075852786861.JavaMail.evans@thyme>,"TEE TIME CONFIRMATION

You are reserved at Tour 18 - Houston for 8 golfers starting at 07:00 am on Saturday, August 18, 2001 under the name Stepenovitch.

Your confirmation number is 9249888.

If you need to cancel or reduce the number of players, please do so at least 24 hours before the tee time.

For additional information, or to make your next reservation online, please visit out our website at http://www.tour18golf.com

THIS EMAIL IS AUTO-GENERATED AND FOR INFORMATION PURPOSES ONLY, PLEASE DO NOT REPLY TO THIS EMAIL.



This reservation is powered by EZLinksGolf.com - ""The easiest way to get a round.""  http://ezlinksgolf.com",neutral
<20324979.1075846945333.JavaMail.evans@thyme>,"To All:

I have attached an omnibus confirm worksheet for a transaction with this 
counterparty.  We require a guaranty from their parent.  We recently 
transacted with this counterparty at which time we required the same 
collateral (Marie Heard worked on this).  They failed to provide the guaranty 
and unwound the positions.  Now they say they will provide the guaranty. At 
the time of the initial transaction they sent over thier format which Shari 
Stack reviewed and commented, which I have a copy of.  I feel we should 
attach a red-line version of this guaranty to the confirm for their review.

Please advise,

Russell.",neutral
<13075876.1075858857741.JavaMail.evans@thyme>,"I just received a voice mail from Kathy Edwards, attorney for Indicated Shippers.  She said her clients were not willing to ""carve-out"" the two issues of competitive bidding and scheduling rights for the Commission to decide as separate policy issues.  Indicated shippers said both issues have to be a part of a settlement.

Based on the input I have received from TW thus far, Indicated Shippers demands may make a settlement impossible.  We need to consider whether TW is willing to go further in regard to either or both of the Indicated Shippers positions (so far TW has said no).  Additionally thought should be given to whether appointment of a settlement judge at this time might be helpful.

I will try to get a call set up to discuss.  In the mean time, any feedback you have would be helpful.  Greg",neutral
<10062671.1075852916719.JavaMail.evans@thyme>,"ROCK STAR: View the trailer on Cinematrix!     Win a chance to be a Rock Star for a Day!   Mark Wahlberg plays Chris Cole, who realizes everyone's greatest fantasy when he suddenly becomes the new lead singer for his favorite heavy metal band, Steel Dragon. Along with his hot girlfriend, played by Jennifer Aniston, he sky-rockets to fame. Look for real-life rockers from Steel Dragon, Ozzy Osbourne's guitarist, Third Eye Blind's Stephen Jenkins and Led Zeppelin's offspring drummer. After you see the movie, check out the official site for  Steel Dragon  - only on LAUNCH. Plus, listen to the Rock Star Station.   P.S. This movie is R-rated and not intended for those who are too young to party like rock stars.      		  	
		   Please unsubscribe here  if you prefer not to receive future e-mail from LAUNCH Media Inc.",positive
<26006744.1075858858541.JavaMail.evans@thyme>,"You are receiving this email as a subscriber
to the USA Opt-In Mailing List Service.
To remove yourself from this and all related mail lists, 
just email us at:  REMOVE MY EMAIL ADDRESS  
   VIAGRA TM       Is the breakthrough medication that has restored or enhanced the Sex lives of millions of men... and women.   Now available to you online and delivered via FedExtm to your home or office at   THE LOWEST PRICES FOUND  ANYWHERE   Online Ordering is Convenient, Affordable and Confidential No Appointments, No Waiting Rooms, No Embarassment!  .  We offer the only FDA approved Viagra by Pfizer  through our online website consultation.      Did I mention that we have the Lowest Priced Viagra On The Internet?        For The Perfect Experience  Click Here and Revitalize Your Life.        To remove yourself immediately from all related mail lists just email us at: REMOVE MY EMAIL ADDRESS",negative
<22665343.1075840038214.JavaMail.evans@thyme>,"Mike,

I represent a firm which has specialized in energy and power market
placement for over ten years.  I'm currently working with several
organizations across the country looking for energy traders, coordinators,
analysts and schedulers.  These are great opportunities to change location
or better ones position quickly.  I'd like to schedule a ten minute
telephone conversation to discuss these positions and determine whether or
not you may have interest or may be able to assist with these openings.

Please reply or call me at 630-990-7510 at your earliest convenience.  I
look forward to speaking with you soon.

Best Regards,
Todd Kubicki
Kappa Search, Inc.
tkubicki@kappasearch.com",positive
<32740841.1075860725795.JavaMail.evans@thyme>,"The By-Laws & Governance Subcommittee meeting scheduled for Thursday,
Feb.28,2002 WILL BE HELD BY CONFERENCE CALL ONLY.

The dial-in number originally set up for call in to the meeting will be used
for the conference call. Here again is the dial-in information for the
By-Laws meeting on Feb. 28:

Dial-in Number:  (800) 966-6338
Conference ID# 2896
Moderator Name: Kathy Robb

Materials for the meeting have been posted on the website.

If you have any questions, please call Peter Brown, the Chair of the By-laws
& Governance Subcommittee, or me.

Many thanks.

Kathy Robb
Hunton & Williams
krobb@hunton.com
212.309.1128



You are currently subscribed to nyisotie as: benjamin.rogers@enron.com
To unsubscribe send a blank email to leave-nyisotie-628650Q@lyris.nyiso.com",neutral
<22054048.1075863194289.JavaMail.evans@thyme>,"Jonathan:

The attached document is governed by English law and subject to SFA rules and regulations.  Could you please take a quick look at the SFA provisions and let me know if you have any comments?  The SFA references appear in the following paragraphs of the Terms of Business:

page 2	-	2.2
page 4	-	4.2
page 5	-	7.3
page 10	-	12.5
page 16	-	5.1 (of Part III)
Page 18-	7.9

Also, I'm uncertain of the following:

page 13-	1.2 	Is this ""best execution"" language alright?
page 17-	7.3	Is the ""further assurance"" language appropriate for perfection of a security interest in Collateral (in England)?
page 28-	Schedule 3	Are these ""LIFFE"" terms fairly standard?
Appendix	This Appendix contains provisions for documenting CFD's.  Can't these be documented under an ISDA?

Please let me know if you have any questions.  And, thanks for your generous assistance.

Sara",neutral
<23269046.1075840207065.JavaMail.evans@thyme>,"Ken:

Rosie has marked your calendar for Wednesday December 13th to attend a 
luncheon and speech at the Hyatt Downtown in the Lay Lecture Series.

Barton Smith of UH will share the results of the economic study he is 
co-directing on the costs and benefits of the Houston region complying with 
the TNRCC SIP for ozone.  (This is the Greater Houston Partnership study I 
have told you about.)  Dr. George Tolley of the University of Chicago will 
also be present for the question and answer period.

I will give you more information as the event approaches.

- Rob


Robert L. Bradley Jr.
Director, Public Policy Analysis
Enron Corp.
P.O Box 1188, Room 4724a
[1400 Smith Street 77002]
Houston, Texas 77251-1188

(P) 713-853-3062
(F) 713-646-4702

Assistant: Joan Stransky 713-853-4702
jstrans@enron.com",neutral
<110059.1075861083476.JavaMail.evans@thyme>,"During the March 7 meeting we reviewed the 'Proposed Accounting Timeline', which is part of the Project Update dated March 7, 2002.  The proposed timeline at the bottom of the page shows that 'Imbalance Trading Ends' on the 16th calendar day of the month.

GISB Standard 2.3.41 states that imbalance trading should be allowed through at least the 17th business day of the month.  The language of the standard is as follows:

""Standard 2.3.41  Transportation Service Providers should provide the ability to post and trade imbalances until at least the close of the seventeenth business day of the month.""

This timing will need to be incorporated into the timeline.

Thanks,
Theresa",neutral
<23047167.1075847038198.JavaMail.evans@thyme>,"Type of Contract:  ISDA Master Agreement (Multicurrency-Cross Border)

Effective Date:   September 1, 2000

Enron Entity:   Enron North America Corp.

Counterparty:   H.Q. Energy Services (U.S.) Inc.

Transactions Covered:  Approved for all products with the exception of: 
Foreign Exchange
          
Confirming Entity:  Enron North America Corp.

Governing Law:   New York

Special Provisions:  The Confirmation section prescribes using the form of 
confirmation contained in the 2000 ISDA Definitions or the 1993 ISDA      
Commodity Definitions.  The timing for dispute of confirmations has been 
amended from the standard 2 days to 3 days.

    Confirmation Desk:  note p.28 of the Schedule to the Master Agreement 
prescribes the rounding conventions.",neutral
<16750104.1075852675437.JavaMail.evans@thyme>,"Attached is a summary compiling separate discussions between myself and Jeff
Skilling, Cris / Lee (McKinsey), Mike Burke, Lloyd Bentsen and Paul Frison.
As indicated in the attachment it has been determined the October 22 event
will stand with slight modifications regarding the invitations.  In
addition, HTC will attempt to organize a second event that will afford
participants the opportunity to hear and hold discussions regarding current
concerns among their colleagues.

A conference call has been scheduled for tomorrow, Friday from 10:00-10:30
with Cris and Lee to further discuss a title and 1-3 paragraph write-up for
the invitations.

Please forward to my attention suggestions, recommendations and comments.

Regards,
Robert Cossick
Houston Technology Center
Dynegy Loaned Executive

HTC       (713) 658-1750
              rcossick@houstontech.org

Dynegy  (713) 767-8045
             robert.cossick@dynegy.com

Cell        (281) 744-4219



 


 - Energy Symposiums.doc",neutral
<12027087.1075852923012.JavaMail.evans@thyme>,"When was the last time a romantic moment got the best of you?
Watching a young bride make her way down the aisle? Toasting
your grandparents' 50th anniversary? Or maybe it was a little
wedded bliss of your own making. Give a gift worthy of
the moment. (Hanky not included.)

Browse our gift guide:

Getting married
http://gifts.redenvelopegifts.com/cgi-bin9/flo?y=eHTD0CHdDH0C3p0BH3d0A8
Anniversary
http://gifts.redenvelopegifts.com/cgi-bin9/flo?y=eHTD0CHdDH0C3p0BH3f0AB
-1st clocks/paper
http://gifts.redenvelopegifts.com/cgi-bin9/flo?y=eHTD0CHdDH0C3p0BH3g0AC
-5th wood
http://gifts.redenvelopegifts.com/cgi-bin9/flo?y=eHTD0CHdDH0C3p0BH3h0AD
-10th tin/aluminum
http://gifts.redenvelopegifts.com/cgi-bin9/flo?y=eHTD0CHdDH0C3p0BH3i0AE
-25th sterling/silver
http://gifts.redenvelopegifts.com/cgi-bin9/flo?y=eHTD0CHdDH0C3p0BH3j0AF
-50th gold
http://gifts.redenvelopegifts.com/cgi-bin9/flo?y=eHTD0CHdDH0C3p0BH3k0AG
More...
http://gifts.redenvelopegifts.com/cgi-bin9/flo?y=eHTD0CHdDH0C3p0BH3l0AH

Thank you for shopping with RedEnvelope!
http://gifts.redenvelopegifts.com/cgi-bin9/flo?y=eHTD0CHdDH0C3p0BH3Y0Aw


*******************************************************************************
If you would prefer to receive the HTML version of our email, click on
My Account to access your RedEnvelope Profile, then click on Email
Settings and select ""HTML"".
http://gifts.redenvelopegifts.com/cgi-bin9/flo?y=eHTD0CHdDH0C3p0BH3y0AU
If you do not wish to receive further correspondence, please send an
email to mailto:UnsubscribeRedEnvelope@gifts.redenvelopegifts.com
and we will remove you from our email list.",neutral
<29723578.1075846081037.JavaMail.evans@thyme>,"Hi there,

Thanks for taking my car in.  I admit I feel like men get treated better by 
car servicing people than women.  I'm not just saying that, either.

On the issue of Charlotte, is it your idea that she will take care of 
Tuesdays only while you are going to rodeo meetings?  I know in her email she 
had a preference for not doing the Sharon thing, and I do think we lost 
something when we (well, you) weren't communicating with Sharon or Amy in a 
regular basis.  I know it is easy for me to say since it is an inconvenience 
for you...

ckm",neutral
<16526501.1075841492599.JavaMail.evans@thyme>,"To member:   dvdexpress
From member: shig4413




There's a dutch auction going on for these items. Find by using Enron Cube. Auction is at $23 right now.


This email was sent by an eBay member via eBay's email forwarding system.
If you reply to the email, your response will go directly to the member and
not through eBay.

eBay does not tolerate spam (i.e., unsolicited commercial email) and is
taking steps to protect members from this abuse. In addition, solicitations
to buy or sell items outside of eBay violate eBay rules and are not covered
by services that protect members such as feedback, insurance, escrow, and
dispute resolution. If this is an offer to buy/sell items outside of eBay,
please do not participate. Enter the following link into your browser to learn more.  Link: http://pages.digitalcity.ebay.com/help/emailinfo.html",neutral
<2233799.1075843999023.JavaMail.evans@thyme>,"Steve,

as we have discussed,  I want to develop a model that can be used to 
determine the actual value of storage by looking at deals done in the past.  
In doing this, I need the model to be able to pull historical curves from 
Oracle by basis location.  It will need to pull Interest Rate, Gas Daily, 
Balance of the month (Swing Swap), Nymex and Basis.

Once all of the pricing curves are pulled, the model will make daily 
decisions based on price relative to each other to buy, sell or hold.

This will probably be an extensive project so see about the pulling of the 
curves first, and we can move forward from there.  Please call either myself 
or Matt Smith with any questions.

Ken
3-7009",neutral
<13429968.1075847595714.JavaMail.evans@thyme>,"STEVE KEAN





Executive Committee Weekly Meeting
Date:  Monday, April 23rd     
Time:  11:00 a.m. (CDT)
Location: 50th Floor Boardroom
Video:  Connections will be established with remote locations upon request.
Conf call: AT&T lines have been reserved.  Please contact Sherri Sera 
(713/853-5984) 
  or Bill Dorsey (713/646-6505) for the weekly dial-in number and passcode.

Please indicate below whether or not you plan to attend this meeting and 
through what medium. 

 Yes, I will attend in person X

 By video conference from 

 By conference call  

 No, I will not attend  

*  *  *

Please return this e-mail to me with your response by 12:00 p.m., Friday, 
April 20th

Thank you, 
Bill Dorsey.",neutral
<15118927.1075842976630.JavaMail.evans@thyme>,"Jeff,
You had suggested some ""wholesalers"" and utilities the conference and I don't
know which if any are pure generating companies.  Would you say that SCE and
PG&E suffer from high prices and therefore support price caps?  We're thinking
of Bryson and Glynn and I want to make sure someone can speak to the issue of
price caps scaring away investment.  Would Southern and Reliant fit this bill?

Thanks a ton.  Sorry that the school's fundraiser called, I hope that didn't
bother you.
Rob

Here are your wholesalers and utilities:

 * Southern Energy-CA
 * Dynegy
 * Enron
 * PG&E Gen
 * APX
 * Calpine
 * Reliant
 * Sempra
 * PG&E
 * LADWP-David Freeman
 * Duke Corp-Richard Priori
 * PECO-Corban McNeill
 * Cynergy-Jim Rogers
Sierra Pacific-Walter Higgins

Rob Gramlich
PJM Market Monitoring Unit
(610) 666-4291
gramlr@pjm.com",neutral
<32100254.1075858924800.JavaMail.evans@thyme>,"I know, I know....I dropped off the face of the earth for a while.  I've actually been in Denver all week for a Natural Gas Convention.  As for Labor Day weekend, I'm not sure if I'm going to be able to make it.  I'm leaving for S. Korea next Tuesday and don't get back until the weekend before Labor Day weekend.  So issue one is, will I have enough energy to make the trip?  The other issue is a friend's wedding in Park City that same weekend.  I'd feel bad skipping her wedding but still going on a trip.  So.....I was thinking maybe it'd be better all around if I came a different weekend.  Why don't you take a look at your calendar and let me know what other dates in September look good to you.

Susan",neutral
<30386229.1075840832537.JavaMail.evans@thyme>,"Louise:

At Mary Cook's request, we have prepared, and attach for your review, an address list for our top 20 trading counterparties.  Please note that we do not have contact information for the following counterparties:

BP Corporation North America Inc. - physical gas
Entergy-Koch - physical power
TXU Energy Trading Company - financial

If you can provide us with contact information, we can include it in the attached list.

Mary asked that you provide us with any changes/additions by 12:00 on Wednesday, January 2.

Please let us know if you have any questions or need anything else.

Thanks!

Marie

Marie Heard
Senior Legal Specialist
Enron North America Corp.
Phone:  (713) 853-3907
Fax:  (713) 646-3490
marie.heard@enron.com",neutral
<15464288.1075855772495.JavaMail.evans@thyme>,"Dear Ken, Leslie,

It looks like we have gotten to the bottom of the missing documentation (it 
was there, it was quickly available, Ken did talk to the right people but 
they did not see the urgency of getting the information to Ken).  As a 
result, I think we have to rewrite the information related to this issue in 
the Portland report.  Let's get together for 15 minutes today/tomorrow to 
draft a rewrite of these areas.  

Just as a side note, we need to wait until the report has been changed before 
we share the information with Portland.

Pam - could you organize Ken, Leslie and I getting together?

Thanks

Shona",neutral
<17629035.1075840436520.JavaMail.evans@thyme>,"Friday - April 13th

6:00pm Notified by gas control that we needed to deliver to Centana for operational reasons, approx. 30-50 MMBTU rate.  Contacted Carlos to see if it was possible since we are over are storage capacity at Centana...he spoke with Ron with Centana and it was approved.  

Saturday - April 14th

8:30am  Notified by gas control that the Freeport delivery to Dow was increased to 10.0.  Also, Exxon Katy was over delivering approx. 7-9 MMBTU, and they had over delivered a similar volume on Friday.  Confrimed with Jackie that it was ok for Saturday.

Sunday - April 15th  

No calls - except from the Easter Bunny!",neutral
<16897338.1075852158534.JavaMail.evans@thyme>,"Start Date: 10/9/01; HourAhead hour: 11;  No ancillary schedules awarded.  No variances detected. 

    LOG MESSAGES:

PARSING FILE  O:\Portland\WestDesk\California Scheduling\ISO Final Schedules\2001100911.txt

Error retrieving HourAhead price data - process continuing...
 Energy Import/Export Schedule 
*** Final schedule not found for preferred schedule.
     Details:

  TRANSTYPE: FINAL
  SCID: ECTRT
  MKTTYPE: 2
  TRANSDATE: 10/9/01
  TIEPOINT: PVERDE5DEVERS
  INTERCHGID: PNMEPMICISO
  ENGYTYPE: FIRM
*** Final schedule not found for preferred schedule.
     Details:

  TRANSTYPE: FINAL
  SCID: ECTRT
  MKTTYPE: 2
  TRANSDATE: 10/9/01
  TIEPOINT: PVERDE5DEVERS
  INTERCHGID: SRPEPMICISO
  ENGYTYPE: FIRM
*** Final schedule not found for preferred schedule.
     Details:

  TRANSTYPE: FINAL
  SCID: ECTRT
  MKTTYPE: 2
  TRANSDATE: 10/9/01
  TIEPOINT: MALIN5RNDMTN
  INTERCHGID: MPCEPMICISO
  ENGYTYPE: FIRM",neutral
